Key,Value
10.7.54.219,440
142.250.182.195,12
142.250.193.14,4
10.0.136.7,24
104.244.42.193,6
142.250.70.110,19
142.250.192.42,20
142.250.182.202,8
142.250.199.170,3
104.18.32.47,52
142.250.70.69,24
142.251.42.10,65
74.125.130.84,22
104.18.37.228,1
142.250.193.36,119
172.64.155.209,1
142.251.42.3,87
142.250.195.1,13
142.250.183.170,19
172.67.167.186,39
172.217.174.234,16
104.21.12.216,2
