Key,Value
142.250.182.195,12
10.7.54.219,556
142.250.193.14,4
142.250.70.110,14
10.0.136.7,25
104.244.42.193,6
142.250.192.42,17
142.250.182.202,7
142.250.199.170,3
104.18.32.47,59
142.250.70.69,28
142.251.42.10,49
74.125.130.84,17
104.18.37.228,1
142.250.193.36,80
172.64.155.209,1
142.251.42.3,48
142.250.195.1,13
142.250.183.170,16
172.67.167.186,21
172.217.174.234,13
104.21.12.216,6
